PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
worreto01,Todd,Worrell,1991,617,27,1,2,0,1,0,0.074074074,0,0,1,20,11,Y
aguilri01,Rick,Aguilera,1992,737,139,12,28,3,0,3,0.201438849,11,0,6,37,19,Y
assenpa01,Paul,Assenmacher,1992,884,36,3,3,1,0,0,0.083333333,0,0,5,12,16,N
cadargr01,Greg,Cadaret,1992,451,2,0,0,0,0,0,0,0,0,0,1,14,N
cangejo01,John,Cangelosi,1992,1038,2004,328,501,73,15,12,0.25,134,154,358,322,13,N
castito02,Tony,Castillo,1992,403,13,1,1,0,0,0,0.076923077,0,0,1,6,13,N
clarkda05,Dave,Clark,1992,905,1964,248,518,81,8,62,0.263747454,284,19,222,451,14,N
daviser01,Eric,Davis,1992,1626,5321,938,1430,239,26,282,0.268746476,934,349,740,1398,18,Y
devermi01,Mike,Devereaux,1992,1086,3740,491,949,170,33,105,0.253743316,480,85,296,635,13,N
drabedo01,Doug,Drabek,1992,412,716,42,119,17,3,2,0.166201117,46,0,17,207,13,Y
elsteke01,Kevin,Elster,1992,940,2844,332,648,136,12,88,0.227848101,376,14,295,562,14,N
fieldce01,Cecil,Fielder,1992,1470,5157,744,1313,200,7,319,0.254605391,1008,2,693,1316,15,Y
goodedw01,Dwight,Gooden,1992,434,741,60,145,15,5,8,0.195681511,67,1,14,135,18,Y
guilloz01,Ozzie,Guillen,1992,1993,6686,773,1764,275,69,28,0.263834879,619,169,239,511,17,Y
harrige01,Gene,Harris,1992,185,6,0,1,0,0,0,0.166666667,0,0,0,2,11,N
incavpe01,Pete,Incaviglia,1992,1284,4233,546,1043,194,21,206,0.246397354,655,33,360,1277,15,N
jacksda03,Darrin,Jackson,1992,960,2629,311,676,114,15,80,0.257131989,317,43,131,480,15,N
jonesdo01,Doug,Jones,1992,846,7,0,1,0,0,0,0.142857143,0,0,1,4,18,Y
liriane01,Nelson,Liriano,1992,823,2216,296,576,105,27,25,0.259927798,240,59,212,300,12,N
macksh01,Shane,Mack,1992,923,2857,436,853,155,28,80,0.298564928,398,90,256,509,10,N
marzajo01,John,Marzano,1992,301,794,79,191,45,2,11,0.240554156,72,0,39,138,10,N
oroscje01,Jesse,Orosco,1992,1252,59,3,10,0,0,0,0.169491525,4,0,8,25,26,Y
pagnoto01,Tom,Pagnozzi,1992,927,2896,247,733,153,11,44,0.253107735,320,18,189,450,12,N
palldo01,Donn,Pall,1992,328,5,0,0,0,0,0,0,0,0,1,2,12,N
parenma01,Mark,Parent,1992,474,1303,112,279,50,0,53,0.214121259,168,3,98,319,15,N
plunker01,Eric,Plunk,1992,714,2,1,0,0,0,0,0,0,0,1,2,16,N
portuma01,Mark,Portugal,1992,348,450,33,89,20,1,2,0.197777778,36,0,20,87,16,N
reedje02,Jeff,Reed,1992,1234,3101,311,774,144,10,61,0.249596904,323,7,391,566,19,N
reedjo01,Jody,Reed,1992,1284,4554,566,1231,263,10,27,0.270311814,392,40,542,407,11,N
ripkebi01,Billy,Ripken,1992,912,2729,287,674,121,6,20,0.246976915,229,25,174,332,12,N
saberbr01,Bret,Saberhagen,1992,403,190,13,23,4,0,0,0.121052632,1,0,13,49,17,Y
saboch01,Chris,Sabo,1992,911,3354,494,898,214,17,116,0.267740012,426,120,274,460,10,N
shiplcr01,Craig,Shipley,1992,582,1345,155,364,63,6,20,0.27063197,138,33,47,191,11,N
smithpe02,Pete,Smith,1992,234,279,15,33,4,2,0,0.11827957,15,0,19,83,12,N
steinte01,Terry,Steinbach,1992,1546,5369,638,1453,273,21,162,0.270627677,745,23,418,938,14,Y
sveumda01,Dale,Sveum,1992,862,2526,305,597,125,13,69,0.236342043,340,10,227,656,13,N
westda01,David,West,1992,204,55,3,10,2,0,1,0.181818182,5,0,3,22,11,N
willied01,Eddie,Williams,1992,395,1145,146,288,47,2,39,0.251528384,150,2,101,216,11,N
abbotji01,Jim,Abbott,1993,263,21,0,2,0,0,0,0.095238095,3,0,0,10,11,Y
anthoer01,Eric,Anthony,1993,682,1999,249,462,81,8,78,0.231115558,269,24,217,491,10,N
bautijo01,Jose,Bautista,1993,314,50,2,5,0,0,0,0.1,1,0,1,17,10,N
belchti01,Tim,Belcher,1993,394,388,19,48,9,0,2,0.12371134,25,0,2,147,15,N
blausje01,Jeff,Blauser,1993,1407,4522,691,1187,217,33,122,0.262494471,513,65,569,937,13,N
bonilbo01,Bobby,Bonilla,1993,2113,7213,1084,2010,408,61,287,0.278663524,1173,45,912,1204,19,Y
buhneja01,Jay,Buhner,1993,1472,5013,798,1273,233,19,310,0.253939757,965,6,792,1406,16,Y
cansejo01,Jose,Canseco,1993,1887,7057,1186,1877,340,14,462,0.265977044,1407,200,906,1942,19,Y
clarkwi02,Will,Clark,1993,1976,7173,1186,2176,440,47,284,0.303359822,1205,67,937,1190,16,Y
corajo01,Joey,Cora,1993,1119,3734,624,1035,171,41,30,0.277182646,294,117,380,335,12,N
eilanda01,Dave,Eiland,1993,92,22,2,2,0,0,1,0.090909091,2,0,0,8,10,N
freyst01,Steve,Frey,1993,314,4,0,0,0,0,0,0,0,0,1,3,10,N
hansoer01,Erik,Hanson,1993,247,39,5,6,1,0,0,0.153846154,3,0,0,17,11,N
