PlayerID,First,Last,YearID,G,AB,R,H,2B,3B,HR,AVG,RBI,SB,BB,SO,Season,Ballot
bradlbi01,Bill,Bradley,1905,1461,5430,754,1471,275,84,33,0.270902394,552,181,290,18,14,Y
branski01,Kitty,Bransfield,1905,1330,4999,529,1351,225,75,13,0.270254051,637,175,221,41,13,N
davisha01,Harry,Davis,1905,1755,6653,1001,1841,361,145,75,0.27671727,951,285,525,45,25,Y
donlimi01,Mike,Donlin,1905,1049,3854,669,1282,176,97,51,0.332641412,543,213,312,39,14,Y
elberki01,Kid,Elberfeld,1905,1292,4561,647,1235,169,56,10,0.270773953,535,213,427,4,15,Y
flahepa02,Patsy,Flaherty,1905,235,624,53,123,19,13,6,0.197115385,70,9,40,11,10,N
hugheto01,Tom,Hughes,1905,410,958,89,190,28,15,6,0.198329854,79,8,39,14,15,N
lajoina01,Nap,Lajoie,1905,2480,9589,1504,3242,657,163,83,0.338095735,1599,380,516,85,22,Y
parenfr01,Freddy,Parent,1905,1327,4984,633,1306,180,74,20,0.262038523,471,184,333,0,12,N
phillde01,Deacon,Phillippe,1905,377,980,96,185,23,6,3,0.18877551,90,4,49,5,13,Y
sheckji01,Jimmy,Sheckard,1905,2122,7605,1296,2084,354,136,56,0.274030243,813,465,1135,233,19,Y
smithha03,Harry,Smith,1905,343,1004,83,214,22,7,2,0.21314741,89,23,55,14,10,N
thomaro01,Roy,Thomas,1905,1470,5296,1011,1537,100,53,7,0.290219033,299,244,1042,11,14,N
bergebi01,Bill,Bergen,1906,947,3028,138,516,45,21,2,0.170409511,193,23,88,81,11,N
bresnro01,Roger,Bresnahan,1906,1446,4481,682,1252,218,71,26,0.279401919,530,212,714,99,18,Y
brownge01,George,Browne,1906,1102,4300,614,1176,119,55,18,0.273488372,303,190,259,1,15,N
chancfr01,Frank,Chance,1906,1287,4297,797,1273,200,79,20,0.2962532,596,401,554,29,17,Y
coaklan01,Andy,Coakley,1906,150,359,14,42,3,1,0,0.116991643,6,1,17,0,10,Y
conrowi01,Wid,Conroy,1906,1374,5061,605,1257,176,82,22,0.248369887,452,262,345,0,11,Y
donovbi01,Bill,Donovan,1906,459,1302,142,251,30,11,7,0.192780338,93,36,77,6,18,Y
doughpa01,Patsy,Dougherty,1906,1233,4558,678,1294,138,78,17,0.283896446,413,261,378,0,12,N
gessldo01,Doc,Gessler,1906,880,2969,370,831,127,50,14,0.27989222,363,142,333,0,11,N
hoffmda01,Danny,Hoffman,1906,829,2981,361,762,71,52,14,0.25561892,235,185,226,0,10,N
klingjo01,Johnny,Kling,1906,1260,4241,474,1151,181,61,20,0.271398255,513,123,281,114,14,Y
marshdo01,Doc,Marshall,1906,261,756,51,159,23,8,2,0.21031746,54,15,34,0,10,N
sullibi03,Billy,Sullivan,1906,1147,3647,363,777,119,33,21,0.213051823,378,98,170,0,16,Y
wallabo01,Bobby,Wallace,1906,2383,8618,1057,2309,391,143,34,0.267927593,1121,201,774,79,25,Y
ewingbo01,Bob,Ewing,1907,311,872,77,170,27,7,3,0.194954128,58,5,33,16,11,N
jacklfr01,Fred,Jacklitsch,1907,490,1344,160,327,64,12,5,0.243303571,153,35,201,100,13,N
leachto01,Tommy,Leach,1907,2156,7959,1355,2143,266,172,63,0.269254932,810,361,820,278,20,Y
mcintma01,Matty,McIntyre,1907,1072,3958,562,1066,140,69,4,0.269327943,319,120,439,0,10,N
mooreea01,Earl,Moore,1907,388,949,55,134,13,1,0,0.141201264,43,4,62,108,16,N
moranpa01,Pat,Moran,1907,818,2634,198,618,102,24,18,0.234624146,262,55,142,36,14,Y
murphda02,Danny,Murphy,1907,1496,5399,705,1563,289,102,44,0.289498055,702,193,335,24,16,Y
peltyba01,Barney,Pelty,1907,282,697,42,100,6,3,0,0.143472023,30,5,21,0,11,N
phelped01,Ed,Phelps,1907,633,1832,186,460,45,20,3,0.251091703,205,31,163,46,12,N
stahlja01,Jake,Stahl,1907,981,3425,405,894,149,87,31,0.261021898,437,178,221,1,10,Y
tannele01,Lee,Tannehill,1907,1090,3778,331,833,135,27,3,0.22048703,346,63,229,0,10,N
wagneho01,Honus,Wagner,1907,2792,10430,1736,3415,640,252,101,0.327420901,1732,722,963,327,21,Y
whitedo01,Doc,White,1907,547,1283,147,278,22,13,2,0.216679657,75,32,147,1,13,N
